"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that deleting a user returns 204 No Content status","429","DeleteUser_ShouldReturn204","","Fri Feb 27 05:06:21 UTC 2026","failed","Fri Feb 27 05:06:21 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that updating a user with PUT method returns 200 OK with updated details","155","UpdateUser_ShouldReturn200","","Fri Feb 27 05:06:21 UTC 2026","passed","Fri Feb 27 05:06:22 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that partially updating a user with PATCH method returns 200 OK","181","PatchUser_ShouldReturn200","","Fri Feb 27 05:06:21 UTC 2026","passed","Fri Feb 27 05:06:21 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that retrieving a user returns 200 OK status with valid response body","638","GetUser_ShouldReturn200_AndValidBody","","Fri Feb 27 05:06:18 UTC 2026","passed","Fri Feb 27 05:06:19 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that creating a user returns 201 Created status with user details in response","338","CreateUser_ShouldReturn201","","Fri Feb 27 05:06:19 UTC 2026","passed","Fri Feb 27 05:06:19 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
