"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that retrieving a user returns 200 OK status with valid response body","675","GetUser_ShouldReturn200_AndValidBody","","Sat Feb 28 04:35:21 UTC 2026","passed","Sat Feb 28 04:35:22 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that partially updating a user with PATCH method returns 200 OK","206","PatchUser_ShouldReturn200","","Sat Feb 28 04:35:24 UTC 2026","passed","Sat Feb 28 04:35:24 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that deleting a user returns 204 No Content status","446","DeleteUser_ShouldReturn204","","Sat Feb 28 04:35:24 UTC 2026","failed","Sat Feb 28 04:35:24 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that updating a user with PUT method returns 200 OK with updated details","109","UpdateUser_ShouldReturn200","","Sat Feb 28 04:35:24 UTC 2026","passed","Sat Feb 28 04:35:24 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that creating a user returns 201 Created status with user details in response","282","CreateUser_ShouldReturn201","","Sat Feb 28 04:35:22 UTC 2026","passed","Sat Feb 28 04:35:22 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
