"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that deleting a user returns 204 No Content status","483","DeleteUser_ShouldReturn204","","Mon Feb 16 18:24:17 UTC 2026","failed","Mon Feb 16 18:24:18 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that updating a user with PUT method returns 200 OK with updated details","201","UpdateUser_ShouldReturn200","","Mon Feb 16 18:24:18 UTC 2026","passed","Mon Feb 16 18:24:18 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that partially updating a user with PATCH method returns 200 OK","143","PatchUser_ShouldReturn200","","Mon Feb 16 18:24:18 UTC 2026","passed","Mon Feb 16 18:24:18 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
