"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating a user with PUT method returns 200 OK with updated details","186","UpdateUser_ShouldReturn200","","Thu Feb 19 05:14:23 UTC 2026","passed","Thu Feb 19 05:14:23 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that creating a user returns 201 Created status with user details in response","214","CreateUser_ShouldReturn201","","Thu Feb 19 05:14:21 UTC 2026","passed","Thu Feb 19 05:14:21 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
"Verify that deleting a user returns 204 No Content status","411","DeleteUser_ShouldReturn204","","Thu Feb 19 05:14:22 UTC 2026","failed","Thu Feb 19 05:14:23 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that partially updating a user with PATCH method returns 200 OK","126","PatchUser_ShouldReturn200","","Thu Feb 19 05:14:23 UTC 2026","passed","Thu Feb 19 05:14:23 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that retrieving a user returns 200 OK status with valid response body","298","GetUser_ShouldReturn200_AndValidBody","","Thu Feb 19 05:14:20 UTC 2026","passed","Thu Feb 19 05:14:21 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
