"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that creating a user returns 201 Created status with user details in response","259","CreateUser_ShouldReturn201","","Wed Feb 25 05:16:29 UTC 2026","passed","Wed Feb 25 05:16:30 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
"Verify that deleting a user returns 204 No Content status","424","DeleteUser_ShouldReturn204","","Wed Feb 25 05:16:31 UTC 2026","failed","Wed Feb 25 05:16:32 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that updating a user with PUT method returns 200 OK with updated details","110","UpdateUser_ShouldReturn200","","Wed Feb 25 05:16:32 UTC 2026","passed","Wed Feb 25 05:16:32 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that partially updating a user with PATCH method returns 200 OK","225","PatchUser_ShouldReturn200","","Wed Feb 25 05:16:32 UTC 2026","passed","Wed Feb 25 05:16:32 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that retrieving a user returns 200 OK status with valid response body","439","GetUser_ShouldReturn200_AndValidBody","","Wed Feb 25 05:16:29 UTC 2026","passed","Wed Feb 25 05:16:29 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
