"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that creating a user returns 201 Created status with user details in response","208","CreateUser_ShouldReturn201","","Tue Feb 17 10:29:49 UTC 2026","passed","Tue Feb 17 10:29:49 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
"Verify that retrieving a user returns 200 OK status with valid response body","288","GetUser_ShouldReturn200_AndValidBody","","Tue Feb 17 10:29:48 UTC 2026","passed","Tue Feb 17 10:29:49 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
