"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that partially updating a user with PATCH method returns 200 OK","219","PatchUser_ShouldReturn200","","Fri Feb 20 05:08:03 UTC 2026","passed","Fri Feb 20 05:08:03 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that retrieving a user returns 200 OK status with valid response body","461","GetUser_ShouldReturn200_AndValidBody","","Fri Feb 20 05:08:00 UTC 2026","passed","Fri Feb 20 05:08:01 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that updating a user with PUT method returns 200 OK with updated details","115","UpdateUser_ShouldReturn200","","Fri Feb 20 05:08:03 UTC 2026","passed","Fri Feb 20 05:08:03 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that deleting a user returns 204 No Content status","442","DeleteUser_ShouldReturn204","","Fri Feb 20 05:08:02 UTC 2026","failed","Fri Feb 20 05:08:03 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that creating a user returns 201 Created status with user details in response","219","CreateUser_ShouldReturn201","","Fri Feb 20 05:08:01 UTC 2026","passed","Fri Feb 20 05:08:01 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
