"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that retrieving a user returns 200 OK status with valid response body","601","GetUser_ShouldReturn200_AndValidBody","","Sun Feb 22 05:10:38 UTC 2026","passed","Sun Feb 22 05:10:39 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that updating a user with PUT method returns 200 OK with updated details","202","UpdateUser_ShouldReturn200","","Sun Feb 22 05:10:41 UTC 2026","passed","Sun Feb 22 05:10:42 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that deleting a user returns 204 No Content status","570","DeleteUser_ShouldReturn204","","Sun Feb 22 05:10:40 UTC 2026","failed","Sun Feb 22 05:10:41 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that partially updating a user with PATCH method returns 200 OK","369","PatchUser_ShouldReturn200","","Sun Feb 22 05:10:41 UTC 2026","passed","Sun Feb 22 05:10:41 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that creating a user returns 201 Created status with user details in response","369","CreateUser_ShouldReturn201","","Sun Feb 22 05:10:39 UTC 2026","passed","Sun Feb 22 05:10:39 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
