"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that retrieving a user returns 200 OK status with valid response body","525","GetUser_ShouldReturn200_AndValidBody","","Tue Feb 24 05:14:18 UTC 2026","passed","Tue Feb 24 05:14:19 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that deleting a user returns 204 No Content status","540","DeleteUser_ShouldReturn204","","Tue Feb 24 05:14:20 UTC 2026","failed","Tue Feb 24 05:14:21 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that creating a user returns 201 Created status with user details in response","311","CreateUser_ShouldReturn201","","Tue Feb 24 05:14:19 UTC 2026","passed","Tue Feb 24 05:14:19 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
"Verify that partially updating a user with PATCH method returns 200 OK","183","PatchUser_ShouldReturn200","","Tue Feb 24 05:14:21 UTC 2026","passed","Tue Feb 24 05:14:21 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that updating a user with PUT method returns 200 OK with updated details","160","UpdateUser_ShouldReturn200","","Tue Feb 24 05:14:21 UTC 2026","passed","Tue Feb 24 05:14:21 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
