"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that retrieving a user returns 200 OK status with valid response body","250","GetUser_ShouldReturn200_AndValidBody","","Mon Feb 16 12:44:08 UTC 2026","passed","Mon Feb 16 12:44:08 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that creating a user returns 201 Created status with user details in response","220","CreateUser_ShouldReturn201","","Mon Feb 16 12:44:08 UTC 2026","passed","Mon Feb 16 12:44:08 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
