"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating a user with PUT method returns 200 OK with updated details","199","UpdateUser_ShouldReturn200","","Tue Feb 17 11:16:59 UTC 2026","passed","Tue Feb 17 11:16:59 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that deleting a user returns 204 No Content status","422","DeleteUser_ShouldReturn204","","Tue Feb 17 11:16:58 UTC 2026","failed","Tue Feb 17 11:16:58 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that partially updating a user with PATCH method returns 200 OK","218","PatchUser_ShouldReturn200","","Tue Feb 17 11:16:58 UTC 2026","passed","Tue Feb 17 11:16:59 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
