"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that partially updating a user with PATCH method returns 200 OK","254","PatchUser_ShouldReturn200","","Sat Feb 21 04:53:22 UTC 2026","passed","Sat Feb 21 04:53:23 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
"Verify that updating a user with PUT method returns 200 OK with updated details","232","UpdateUser_ShouldReturn200","","Sat Feb 21 04:53:23 UTC 2026","passed","Sat Feb 21 04:53:23 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that retrieving a user returns 200 OK status with valid response body","546","GetUser_ShouldReturn200_AndValidBody","","Sat Feb 21 04:53:20 UTC 2026","passed","Sat Feb 21 04:53:20 UTC 2026","","User Management","GetUserTests","GetUser_ShouldReturn200_AndValidBody"
"Verify that creating a user returns 201 Created status with user details in response","255","CreateUser_ShouldReturn201","","Sat Feb 21 04:53:20 UTC 2026","passed","Sat Feb 21 04:53:21 UTC 2026","","User Management","PostUserTests","CreateUser_ShouldReturn201"
"Verify that deleting a user returns 204 No Content status","363","DeleteUser_ShouldReturn204","","Sat Feb 21 04:53:22 UTC 2026","failed","Sat Feb 21 04:53:22 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
